200bin,adj sales (bin),Adjusted sales (bin),Adjusted sales (bin) 50,Adjusted sales 1,Adjusted Sales 1 (bin),Area Code,Area Code (Location),Date,Market,Market Size,Product,Product Id,Product Type,ProductId (Product),Sales (bin),Sales (bin) 100,Sales (bin) 50,Sales (bin) 70,Sales100bin,SalesTab (bin),State,Type,adj sales,Adjusted sales,Adjusted Sales 1,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Inventory,Margin,Marketing,Number of Records,Profit,Sales,Total Expenses
0,100,96,100,100,100,262,262,01-05-2010 00:00:00,Central,Small Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Wisconsin,Decaf,110,110,110,50,70,50,120,48,599,62,15,1,35,110,27
0,100,120,100,100,125,262,262,01-05-2010 00:00:00,Central,Small Market,Amaretto,1,Coffee,1,102.9,100,100,77-139,100,80,Wisconsin,Regular,130,130,130,60,70,20,130,58,338,72,22,1,17,130,55
200,200,215,200,200,200,262,262,01-05-2010 00:00:00,Central,Small Market,Columbian,2,Coffee,2,205.8,200,200,210,200,160,Wisconsin,Regular,221,221,221,90,140,40,230,92,599,129,83,1,17,221,112
200,200,191,200,200,200,715,715,01-05-2010 00:00:00,Central,Small Market,Decaf Irish Cream,3,Coffee,3,171.5,200,200,140,200,160,Wisconsin,Decaf,204,204,204,90,120,80,210,87,472,117,28,1,62,204,55
0,100,120,100,100,125,715,715,01-05-2010 00:00:00,Central,Small Market,Chamomile,8,Herbal Tea,8,102.9,100,100,77-139,100,80,Wisconsin,Decaf,130,130,130,40,70,50,110,48,351,82,14,1,45,130,37
0,100,120,100,100,125,262,262,01-05-2010 00:00:00,Central,Small Market,Lemon,9,Herbal Tea,9,102.9,100,100,77-139,100,80,Wisconsin,Decaf,130,130,130,40,70,60,110,53,803,77,14,1,51,130,26
0,100,96,100,100,100,860,860,01-05-2010 00:00:00,East,Small Market,Darjeeling,11,Tea,11,102.9,100,100,77-139,100,80,Connecticut,Regular,109,109,109,40,70,50,110,44,844,65,12,1,42,109,23
0,50,48,50,50,50,475,475,01-05-2010 00:00:00,East,Small Market,Green Tea,13,Tea,13,34.3,0,50-99,0-69,0,0,Connecticut,Regular,57,57,57,20,40,30,60,23,787,34,6,1,17,57,17
0,150,143,150,150,150,475,475,01-05-2010 00:00:00,East,Small Market,Caffe Mocha,5,Espresso,5,137.2,100,150,140,100,80,Connecticut,Regular,154,154,154,60,90,20,150,64,551,90,58,1,3,154,87
0,100,96,100,100,100,203,203,01-05-2010 00:00:00,East,Small Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Connecticut,Decaf,113,113,113,40,70,40,110,48,334,65,15,1,22,113,43
200,250,263,250,250,275,959,959,01-05-2010 00:00:00,East,Small Market,Columbian,2,Coffee,2,274.4,200,250,210,200,240,Connecticut,Regular,275,275,275,100,160,110,260,110,1020,165,36,1,98,275,67
0,150,167,150,150,150,860,860,01-05-2010 00:00:00,East,Small Market,Lemon,9,Herbal Tea,9,171.5,100,150,140,100,160,Connecticut,Decaf,173,173,173,50,80,40,130,77,529,96,29,1,33,173,63
0,100,143,100,100,125,475,475,01-05-2010 00:00:00,East,Small Market,Mint,10,Herbal Tea,10,137.2,100,100,140,100,80,Connecticut,Decaf,148,148,148,50,60,40,110,68,998,80,21,1,38,148,42
0,50,72,50,50,75,352,352,01-05-2010 00:00:00,East,Major Market,Darjeeling,11,Tea,11,68.6,0,50-99,77-139,0,80,Florida,Regular,89,89,89,30,60,40,90,36,838,53,10,1,32,89,21
0,100,120,100,100,125,239,239,01-05-2010 00:00:00,East,Major Market,Green Tea,13,Tea,13,102.9,100,100,77-139,100,80,Florida,Regular,130,130,130,50,90,70,140,53,803,77,14,1,52,130,25
200,200,215,200,200,200,786,786,01-05-2010 00:00:00,East,Major Market,Caffe Mocha,5,Espresso,5,205.8,200,200,210,200,160,Florida,Regular,221,221,221,80,130,40,210,92,599,129,83,1,17,221,112
200,200,191,200,200,200,863,863,01-05-2010 00:00:00,East,Major Market,Decaf Espresso,6,Espresso,6,171.5,200,200,140,200,160,Florida,Decaf,204,204,204,80,110,70,190,87,472,117,28,1,62,204,55
200,200,215,200,200,225,904,904,01-05-2010 00:00:00,East,Major Market,Columbian,2,Coffee,2,205.8,200,200,210,200,160,Florida,Regular,235,235,235,90,130,90,220,94,697,141,31,1,78,235,63
200,250,263,250,250,250,321,321,01-05-2010 00:00:00,East,Major Market,Decaf Irish Cream,3,Coffee,3,240.1,200,250,210,200,240,Florida,Decaf,273,273,273,100,150,100,250,114,555,159,35,1,100,273,59
0,100,96,100,100,100,941,941,01-05-2010 00:00:00,East,Major Market,Chamomile,8,Herbal Tea,8,102.9,100,100,77-139,100,80,Florida,Decaf,110,110,110,30,50,30,80,48,599,62,15,1,35,110,27
0,100,120,100,100,125,305,305,01-05-2010 00:00:00,East,Major Market,Lemon,9,Herbal Tea,9,102.9,100,100,77-139,100,80,Florida,Decaf,130,130,130,40,60,30,100,58,338,72,22,1,17,130,55
0,150,167,150,150,150,239,239,01-05-2010 00:00:00,East,Major Market,Mint,10,Herbal Tea,10,137.2,100,150,140,100,160,Florida,Decaf,170,170,170,50,80,50,130,78,995,92,24,1,47,170,45
0,50,48,50,50,50,857,857,01-05-2010 00:00:00,East,Major Market,Darjeeling,11,Tea,11,68.6,0,50-99,77-139,0,0,Massachusetts,Regular,71,71,71,30,40,30,70,29,835,42,8,1,22,71,20
0,0,48,0,0,25,413,413,01-05-2010 00:00:00,East,Major Market,Green Tea,13,Tea,13,34.3,0,0-49,0-69,0,0,Massachusetts,Regular,49,49,49,20,30,20,50,20,464,29,5,1,12,49,17
0,100,96,100,100,100,413,413,01-05-2010 00:00:00,East,Major Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,Massachusetts,Regular,114,114,114,50,60,0,110,53,491,61,48,1,-16,114,77
200,250,287,250,250,275,339,339,01-05-2010 00:00:00,East,Major Market,Regular Espresso,7,Espresso,7,274.4,200,250,280,200,240,Massachusetts,Regular,298,298,298,140,150,100,290,149,1156,149,41,1,84,298,65
400,400,382,400,400,400,978,978,01-05-2010 00:00:00,East,Major Market,Columbian,2,Coffee,2,548.8,500,550,490,500,480,Massachusetts,Regular,400,400,400,60,460,430,520,64,-663,487,21,1,434,551,53
0,100,96,100,100,100,857,857,01-05-2010 00:00:00,East,Major Market,Lemon,9,Herbal Tea,9,102.9,100,100,77-139,100,80,Massachusetts,Decaf,118,118,118,40,50,20,90,53,361,65,20,1,12,118,53
0,0,48,0,0,25,603,603,01-05-2010 00:00:00,East,Small Market,Darjeeling,11,Tea,11,34.3,0,0-49,0-69,0,0,New Hampshire,Regular,49,49,49,20,30,20,50,20,829,29,5,1,12,49,17
0,0,24,0,0,25,603,603,01-05-2010 00:00:00,East,Small Market,Green Tea,13,Tea,13,34.3,0,0-49,0-69,0,0,New Hampshire,Regular,43,43,43,0,40,30,40,0,645,43,0,1,32,43,11
0,100,96,100,100,100,603,603,01-05-2010 00:00:00,East,Small Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,New Hampshire,Regular,104,104,104,40,60,10,100,43,282,61,39,1,-7,104,68
0,50,72,50,50,75,603,603,01-05-2010 00:00:00,East,Small Market,Regular Espresso,7,Espresso,7,68.6,0,50-99,77-139,0,0,New Hampshire,Regular,76,76,76,30,40,0,70,34,182,42,12,1,-3,76,45
0,100,120,100,100,125,603,603,01-05-2010 00:00:00,East,Small Market,Amaretto,1,Coffee,1,102.9,100,100,77-139,100,80,New Hampshire,Regular,125,125,125,40,70,40,110,51,265,74,16,1,35,125,39
0,100,120,100,100,125,603,603,01-05-2010 00:00:00,East,Small Market,Columbian,2,Coffee,2,102.9,100,100,77-139,100,80,New Hampshire,Regular,132,132,132,40,80,50,120,52,397,80,17,1,31,132,49
0,50,72,50,50,75,603,603,01-05-2010 00:00:00,East,Small Market,Lemon,9,Herbal Tea,9,68.6,0,50-99,77-139,0,80,New Hampshire,Decaf,81,81,81,20,40,10,60,36,212,45,13,1,-1,81,46
200,250,239,250,250,250,518,518,01-05-2010 00:00:00,East,Major Market,Darjeeling,11,Tea,11,240.1,200,250,210,200,240,New York,Regular,256,256,256,110,160,120,270,104,871,152,29,1,112,256,40
200,250,239,250,250,250,716,716,01-05-2010 00:00:00,East,Major Market,Earl Grey,12,Tea,12,240.1,200,250,210,200,240,New York,Regular,256,256,256,110,160,120,270,104,821,152,29,1,111,256,41
200,200,191,200,200,200,516,516,01-05-2010 00:00:00,East,Major Market,Green Tea,13,Tea,13,205.8,200,200,210,200,160,New York,Regular,210,210,210,90,130,100,220,86,499,124,24,1,89,210,35
0,50,48,50,50,50,646,646,01-05-2010 00:00:00,East,Major Market,Caffe Mocha,5,Espresso,5,68.6,0,50-99,0-69,0,0,New York,Regular,69,69,69,110,-50,-180,60,121,1673,-52,109,1,-195,69,143
400,400,382,400,400,400,212,212,01-05-2010 00:00:00,East,Major Market,Regular Espresso,7,Espresso,7,514.5,500,500,490,500,480,New York,Regular,400,400,400,240,290,210,530,260,1271,283,72,1,187,543,96
600,450,598,600,600,600,585,585,01-05-2010 00:00:00,East,Major Market,Columbian,2,Coffee,2,754.6,700,750,700,700,720,New York,Regular,450,600,600,280,430,300,710,302,2250,454,105,1,295,756,159
600,450,598,600,600,600,315,315,01-05-2010 00:00:00,East,Major Market,Lemon,9,Herbal Tea,9,617.4,600,650,630,600,640,New York,Decaf,450,600,600,200,300,200,500,265,1613,386,100,1,252,651,134
0,150,191,150,150,175,315,315,01-05-2010 00:00:00,East,Major Market,Mint,10,Herbal Tea,10,171.5,100,150,140,100,160,New York,Decaf,198,198,198,170,-20,-90,150,235,2169,-37,72,1,-131,198,94
0,100,96,100,100,100,318,318,01-05-2010 00:00:00,South,Small Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Louisiana,Decaf,110,110,110,30,60,40,90,45,410,65,14,1,28,110,37
0,150,143,150,150,150,985,985,01-05-2010 00:00:00,South,Small Market,Caffe Latte,4,Espresso,4,137.2,100,150,140,100,80,Louisiana,Regular,154,154,154,50,80,10,130,64,-113,90,58,1,3,154,87
0,100,120,100,100,125,225,225,01-05-2010 00:00:00,South,Small Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,Louisiana,Regular,130,130,130,40,70,50,110,48,351,82,14,1,44,130,38
0,100,96,100,100,100,985,985,01-05-2010 00:00:00,South,Small Market,Chamomile,8,Herbal Tea,8,102.9,100,100,77-139,100,80,Louisiana,Decaf,111,111,111,40,60,40,100,48,599,63,15,1,35,111,28
0,150,167,150,150,150,337,337,01-05-2010 00:00:00,South,Small Market,Lemon,9,Herbal Tea,9,171.5,100,150,140,100,160,Louisiana,Decaf,173,173,173,70,90,40,160,77,529,96,29,1,33,173,63
0,50,96,50,50,75,318,318,01-05-2010 00:00:00,South,Small Market,Columbian,2,Coffee,2,68.6,0,50-99,77-139,0,80,Louisiana,Regular,99,99,99,50,70,50,120,40,793,59,11,1,36,99,23
0,100,120,100,100,125,318,318,01-05-2010 00:00:00,South,Small Market,Decaf Irish Cream,3,Coffee,3,102.9,100,100,77-139,100,80,Louisiana,Decaf,130,130,130,60,100,80,160,53,803,77,14,1,52,130,25
0,50,72,50,50,75,505,505,01-05-2010 00:00:00,South,Small Market,Decaf Espresso,6,Espresso,6,68.6,0,50-99,77-139,0,80,New Mexico,Decaf,92,92,92,30,40,10,70,39,212,53,12,1,14,92,39
0,50,72,50,50,75,505,505,01-05-2010 00:00:00,South,Small Market,Caffe Latte,4,Espresso,4,68.6,0,50-99,77-139,0,0,New Mexico,Regular,76,76,76,20,40,10,60,34,-104,42,12,1,-4,76,46
0,100,96,100,100,100,505,505,01-05-2010 00:00:00,South,Small Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,New Mexico,Regular,104,104,104,30,50,0,80,43,282,61,39,1,-7,104,68
0,0,48,0,0,25,505,505,01-05-2010 00:00:00,South,Small Market,Chamomile,8,Herbal Tea,8,34.3,0,0-49,0-69,0,0,New Mexico,Decaf,49,49,49,10,30,20,40,20,829,29,5,1,12,49,17
0,50,48,50,50,50,505,505,01-05-2010 00:00:00,South,Small Market,Lemon,9,Herbal Tea,9,34.3,0,50-99,0-69,0,0,New Mexico,Decaf,68,68,68,20,40,20,60,31,976,37,9,1,7,68,30
0,100,120,100,100,125,505,505,01-05-2010 00:00:00,South,Small Market,Columbian,2,Coffee,2,102.9,100,100,77-139,100,80,New Mexico,Regular,132,132,132,60,100,60,160,52,397,80,17,1,31,132,49
0,100,120,100,100,125,505,505,01-05-2010 00:00:00,South,Small Market,Decaf Irish Cream,3,Coffee,3,102.9,100,100,77-139,100,80,New Mexico,Decaf,136,136,136,120,50,10,170,98,973,38,30,1,-15,136,53
200,200,215,200,200,225,405,405,01-05-2010 00:00:00,South,Small Market,Decaf Espresso,6,Espresso,6,205.8,200,200,210,200,160,Oklahoma,Decaf,235,235,235,80,120,80,200,94,697,141,31,1,79,235,62
200,250,263,250,250,250,918,918,01-05-2010 00:00:00,South,Small Market,Caffe Latte,4,Espresso,4,240.1,200,250,210,200,240,Oklahoma,Regular,273,273,273,90,140,100,230,114,-387,159,35,1,101,273,58
0,0,48,0,0,25,405,405,01-05-2010 00:00:00,South,Small Market,Caffe Mocha,5,Espresso,5,34.3,0,0-49,0-69,0,0,Oklahoma,Regular,49,49,49,10,30,30,40,20,464,29,5,1,13,49,16
0,100,120,100,100,125,918,918,01-05-2010 00:00:00,South,Small Market,Chamomile,8,Herbal Tea,8,102.9,100,100,77-139,100,80,Oklahoma,Decaf,130,130,130,50,70,20,120,58,338,72,22,1,17,130,55
200,200,215,200,200,200,918,918,01-05-2010 00:00:00,South,Small Market,Lemon,9,Herbal Tea,9,205.8,200,200,210,200,160,Oklahoma,Decaf,221,221,221,80,130,40,210,92,599,129,83,1,17,221,112
0,50,96,50,50,75,580,580,01-05-2010 00:00:00,South,Small Market,Columbian,2,Coffee,2,68.6,0,50-99,77-139,0,80,Oklahoma,Regular,99,99,99,50,70,50,120,43,602,56,14,1,30,99,26
0,50,48,50,50,50,405,405,01-05-2010 00:00:00,South,Small Market,Decaf Irish Cream,3,Coffee,3,68.6,0,50-99,77-139,0,0,Oklahoma,Decaf,71,71,71,30,50,40,80,29,835,42,8,1,22,71,20
200,200,191,200,200,200,430,430,01-05-2010 00:00:00,South,Major Market,Decaf Espresso,6,Espresso,6,205.8,200,200,210,200,160,Texas,Decaf,210,210,210,70,110,90,180,86,499,124,24,1,88,210,36
0,150,143,150,150,150,254,254,01-05-2010 00:00:00,South,Major Market,Caffe Latte,4,Espresso,4,137.2,100,150,140,100,160,Texas,Regular,160,160,160,50,80,50,130,64,-161,96,21,1,44,160,52
200,250,239,250,250,250,254,254,01-05-2010 00:00:00,South,Major Market,Caffe Mocha,5,Espresso,5,240.1,200,250,210,200,240,Texas,Regular,256,256,256,80,140,120,220,104,821,152,29,1,112,256,40
0,100,120,100,100,100,915,915,01-05-2010 00:00:00,South,Major Market,Chamomile,8,Herbal Tea,8,102.9,100,100,77-139,100,80,Texas,Decaf,123,123,123,40,80,50,120,52,361,71,17,1,27,123,44
0,100,96,100,100,100,512,512,01-05-2010 00:00:00,South,Major Market,Lemon,9,Herbal Tea,9,102.9,100,100,77-139,100,80,Texas,Decaf,103,103,103,40,60,30,100,42,384,61,13,1,25,103,36
400,400,382,400,400,400,430,430,01-05-2010 00:00:00,South,Major Market,Columbian,2,Coffee,2,480.2,500,500,490,500,480,Texas,Regular,400,400,400,290,350,270,640,235,1060,277,72,1,183,512,94
0,150,167,150,150,175,956,956,01-05-2010 00:00:00,South,Major Market,Decaf Irish Cream,3,Coffee,3,171.5,100,150,140,100,160,Texas,Decaf,190,190,190,100,130,100,230,83,584,107,27,1,68,190,39
0,50,96,50,50,75,435,435,01-05-2010 00:00:00,West,Small Market,Caffe Latte,4,Espresso,4,68.6,0,50-99,77-139,0,80,Utah,Regular,97,97,97,30,60,50,90,39,799,58,10,1,36,97,22
0,100,96,100,100,100,435,435,01-05-2010 00:00:00,West,Small Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,Utah,Regular,111,111,111,40,60,40,100,48,599,63,15,1,36,111,27
0,100,96,100,100,100,435,435,01-05-2010 00:00:00,West,Small Market,Decaf Espresso,6,Espresso,6,102.9,100,100,77-139,100,80,Utah,Decaf,109,109,109,40,60,40,100,44,844,65,12,1,42,109,23
0,100,143,100,100,125,435,435,01-05-2010 00:00:00,West,Small Market,Amaretto,1,Coffee,1,137.2,100,100,140,100,80,Utah,Regular,148,148,148,80,100,60,180,68,998,80,21,1,38,148,42
0,100,96,100,100,100,435,435,01-05-2010 00:00:00,West,Small Market,Columbian,2,Coffee,2,102.9,100,100,77-139,100,80,Utah,Regular,113,113,113,60,80,50,140,48,334,65,15,1,22,113,43
0,150,167,150,150,150,435,435,01-05-2010 00:00:00,West,Small Market,Decaf Irish Cream,3,Coffee,3,171.5,100,150,140,100,160,Utah,Decaf,173,173,173,90,120,70,210,77,529,96,29,1,34,173,62
0,100,120,100,100,125,435,435,01-05-2010 00:00:00,West,Small Market,Chamomile,8,Herbal Tea,8,102.9,100,100,77-139,100,80,Utah,Decaf,125,125,125,40,70,40,110,51,265,74,16,1,34,125,40
0,100,120,100,100,125,435,435,01-05-2010 00:00:00,West,Small Market,Lemon,9,Herbal Tea,9,102.9,100,100,77-139,100,80,Utah,Decaf,132,132,132,40,70,40,110,52,397,80,17,1,32,132,48
0,100,120,100,100,125,435,435,01-05-2010 00:00:00,West,Small Market,Mint,10,Herbal Tea,10,102.9,100,100,77-139,100,80,Utah,Decaf,136,136,136,80,30,-10,110,98,973,38,30,1,-15,136,53
0,100,96,100,100,100,435,435,01-05-2010 00:00:00,West,Small Market,Darjeeling,11,Tea,11,102.9,100,100,77-139,100,80,Utah,Regular,104,104,104,20,50,10,70,43,282,61,39,1,-8,104,69
0,50,72,50,50,75,435,435,01-05-2010 00:00:00,West,Small Market,Earl Grey,12,Tea,12,68.6,0,50-99,77-139,0,80,Utah,Regular,92,92,92,20,40,20,60,39,212,53,12,1,14,92,39
0,50,72,50,50,75,801,801,01-05-2010 00:00:00,West,Small Market,Green Tea,13,Tea,13,68.6,0,50-99,77-139,0,0,Utah,Regular,76,76,76,20,30,10,50,34,182,42,12,1,-3,76,45
400,400,382,400,400,400,415,415,01-05-2010 00:00:00,West,Major Market,Caffe Latte,4,Espresso,4,514.5,500,500,490,500,480,California,Regular,400,400,400,240,260,180,500,260,1559,261,72,1,165,521,96
200,250,287,250,250,275,209,209,01-05-2010 00:00:00,West,Major Market,Caffe Mocha,5,Espresso,5,274.4,200,250,280,200,240,California,Regular,289,289,289,110,160,30,270,121,788,168,109,1,25,289,143
600,450,598,600,600,600,626,626,01-05-2010 00:00:00,West,Major Market,Decaf Espresso,6,Espresso,6,583.1,600,600,560,600,560,California,Decaf,450,600,600,250,330,220,580,263,1433,349,86,1,230,612,119
0,100,96,100,100,100,209,209,01-05-2010 00:00:00,West,Major Market,Amaretto,1,Coffee,1,102.9,100,100,77-139,100,80,California,Regular,106,106,106,160,-30,-80,130,127,1215,-21,40,1,-84,106,63
600,450,598,600,600,600,650,650,01-05-2010 00:00:00,West,Major Market,Columbian,2,Coffee,2,754.6,700,750,700,700,720,California,Regular,450,600,600,380,560,410,940,302,2250,454,105,1,295,756,159
0,150,143,150,150,150,714,714,01-05-2010 00:00:00,West,Major Market,Decaf Irish Cream,3,Coffee,3,137.2,100,150,140,100,160,California,Decaf,163,163,163,240,-40,-140,200,195,1952,-32,64,1,-142,163,110
200,250,239,250,250,250,760,760,01-05-2010 00:00:00,West,Major Market,Chamomile,8,Herbal Tea,8,240.1,200,250,210,200,240,California,Decaf,256,256,256,80,140,120,220,104,871,152,29,1,111,256,41
400,400,382,400,400,400,805,805,01-05-2010 00:00:00,West,Major Market,Lemon,9,Herbal Tea,9,480.2,500,500,490,500,480,California,Decaf,400,400,400,200,250,180,450,235,1060,277,72,1,183,512,94
0,150,167,150,150,175,805,805,01-05-2010 00:00:00,West,Major Market,Mint,10,Herbal Tea,10,171.5,100,150,140,100,160,California,Decaf,190,190,190,70,90,60,160,83,584,107,27,1,67,190,40
200,250,239,250,250,250,310,310,01-05-2010 00:00:00,West,Major Market,Darjeeling,11,Tea,11,240.1,200,250,210,200,240,California,Regular,256,256,256,60,110,100,170,104,821,152,29,1,111,256,41
200,200,191,200,200,200,530,530,01-05-2010 00:00:00,West,Major Market,Earl Grey,12,Tea,12,205.8,200,200,210,200,160,California,Regular,210,210,210,50,90,80,140,86,499,124,24,1,89,210,35
0,150,143,150,150,150,714,714,01-05-2010 00:00:00,West,Major Market,Green Tea,13,Tea,13,137.2,100,150,140,100,160,California,Regular,160,160,160,40,60,30,100,64,593,96,21,1,43,160,53
0,0,24,0,0,25,775,775,01-05-2010 00:00:00,West,Small Market,Caffe Latte,4,Espresso,4,34.3,0,0-49,0-69,0,0,Nevada,Regular,43,43,43,0,40,30,40,0,645,43,0,1,31,43,12
0,0,48,0,0,25,775,775,01-05-2010 00:00:00,West,Small Market,Caffe Mocha,5,Espresso,5,34.3,0,0-49,0-69,0,0,Nevada,Regular,49,49,49,10,30,20,40,20,829,29,5,1,13,49,16
0,0,48,0,0,25,775,775,01-05-2010 00:00:00,West,Small Market,Decaf Espresso,6,Espresso,6,34.3,0,0-49,0-69,0,0,Nevada,Decaf,49,49,49,10,30,20,40,20,784,29,5,1,13,49,16
0,50,72,50,50,75,702,702,01-05-2010 00:00:00,West,Small Market,Columbian,2,Coffee,2,68.6,0,50-99,77-139,0,80,Nevada,Regular,81,81,81,40,60,20,100,36,212,45,13,1,-1,81,46
200,250,287,250,250,275,775,775,01-05-2010 00:00:00,West,Small Market,Chamomile,8,Herbal Tea,8,274.4,200,250,280,200,240,Nevada,Decaf,289,289,289,100,150,40,250,121,788,168,109,1,25,289,143
400,400,382,400,400,400,775,775,01-05-2010 00:00:00,West,Small Market,Lemon,9,Herbal Tea,9,445.9,400,450,420,400,400,Nevada,Decaf,400,400,400,160,240,160,400,195,956,270,64,1,160,465,110
200,300,311,300,300,300,775,775,01-05-2010 00:00:00,West,Small Market,Mint,10,Herbal Tea,10,308.7,300,300,280,300,240,Nevada,Decaf,312,312,312,100,170,120,270,127,671,185,40,1,121,312,64
600,450,598,600,600,600,702,702,01-05-2010 00:00:00,West,Small Market,Darjeeling,11,Tea,11,583.1,600,600,560,600,560,Nevada,Regular,450,600,600,170,240,170,410,263,1433,349,86,1,231,612,118
400,400,382,400,400,400,775,775,01-05-2010 00:00:00,West,Small Market,Earl Grey,12,Tea,12,514.5,500,500,490,500,480,Nevada,Regular,400,400,400,170,180,120,350,260,1559,261,72,1,164,521,97
0,0,0,0,0,0,702,702,01-05-2010 00:00:00,West,Small Market,Green Tea,13,Tea,13,0.0,0,0-49,0-69,0,0,Nevada,Regular,18,18,18,170,-170,-250,0,265,3742,-265,100,1,-380,18,133
0,50,48,50,50,50,775,775,01-05-2010 00:00:00,West,Small Market,Decaf Irish Cream,3,Coffee,3,34.3,0,50-99,0-69,0,0,Nevada,Decaf,68,68,68,30,50,30,80,31,976,37,9,1,6,68,31
0,100,96,100,100,100,541,541,01-05-2010 00:00:00,West,Small Market,Caffe Latte,4,Espresso,4,102.9,100,100,77-139,100,80,Oregon,Regular,118,118,118,50,60,20,110,53,361,65,20,1,11,118,54
0,100,120,100,100,100,541,541,01-05-2010 00:00:00,West,Small Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,Oregon,Regular,123,123,123,40,70,40,110,52,361,71,17,1,27,123,44
200,250,287,250,250,275,541,541,01-05-2010 00:00:00,West,Small Market,Decaf Espresso,6,Espresso,6,274.4,200,250,280,200,240,Oregon,Decaf,298,298,298,140,140,90,280,149,1156,149,41,1,83,298,66
0,100,120,100,100,125,503,503,01-05-2010 00:00:00,West,Small Market,Amaretto,1,Coffee,1,102.9,100,100,77-139,100,80,Oregon,Regular,128,128,128,60,100,40,160,53,458,75,48,1,-2,128,77
0,100,96,100,100,100,971,971,01-05-2010 00:00:00,West,Small Market,Columbian,2,Coffee,2,102.9,100,100,77-139,100,80,Oregon,Regular,116,116,116,60,80,30,140,48,422,68,15,1,8,116,60
0,50,72,50,50,75,503,503,01-05-2010 00:00:00,West,Small Market,Chamomile,8,Herbal Tea,8,68.6,0,50-99,77-139,0,0,Oregon,Decaf,75,75,75,20,40,40,60,30,794,45,8,1,26,75,19
0,50,96,50,50,75,971,971,01-05-2010 00:00:00,West,Small Market,Lemon,9,Herbal Tea,9,68.6,0,50-99,77-139,0,80,Oregon,Decaf,99,99,99,30,50,30,80,43,602,56,14,1,30,99,26
0,0,48,0,0,25,503,503,01-05-2010 00:00:00,West,Small Market,Darjeeling,11,Tea,11,34.3,0,0-49,0-69,0,0,Oregon,Regular,49,49,49,10,20,20,30,20,464,29,5,1,12,49,17
200,200,215,200,200,225,503,503,01-05-2010 00:00:00,West,Small Market,Earl Grey,12,Tea,12,205.8,200,200,210,200,160,Oregon,Regular,235,235,235,60,90,50,150,94,697,141,31,1,79,235,62
200,250,263,250,250,250,971,971,01-05-2010 00:00:00,West,Small Market,Green Tea,13,Tea,13,240.1,200,250,210,200,240,Oregon,Regular,273,273,273,70,110,70,180,114,555,159,35,1,101,273,58
0,100,96,100,100,100,971,971,01-05-2010 00:00:00,West,Small Market,Decaf Irish Cream,3,Coffee,3,102.9,100,100,77-139,100,80,Oregon,Decaf,103,103,103,50,70,40,120,42,384,61,13,1,25,103,36
0,100,96,100,100,100,206,206,01-05-2010 00:00:00,West,Small Market,Caffe Latte,4,Espresso,4,102.9,100,100,77-139,100,80,Washington,Regular,110,110,110,40,60,40,100,48,599,62,15,1,34,110,28
0,100,120,100,100,125,206,206,01-05-2010 00:00:00,West,Small Market,Caffe Mocha,5,Espresso,5,102.9,100,100,77-139,100,80,Washington,Regular,130,130,130,50,70,20,120,58,338,72,22,1,16,130,56
0,150,167,150,150,150,206,206,01-05-2010 00:00:00,West,Small Market,Decaf Espresso,6,Espresso,6,137.2,100,150,140,100,160,Washington,Decaf,170,170,170,70,90,60,160,78,995,92,24,1,47,170,45
0,150,167,150,150,175,253,253,01-05-2010 00:00:00,West,Small Market,Columbian,2,Coffee,2,171.5,100,150,140,100,160,Washington,Regular,175,175,175,80,130,90,210,71,373,104,22,1,58,175,46
200,250,263,250,250,275,206,206,01-05-2010 00:00:00,West,Small Market,Chamomile,8,Herbal Tea,8,274.4,200,250,210,200,240,Washington,Decaf,275,275,275,90,150,100,240,110,1020,165,36,1,98,275,67
0,50,96,50,50,75,206,206,01-05-2010 00:00:00,West,Small Market,Lemon,9,Herbal Tea,9,68.6,0,50-99,77-139,0,80,Washington,Decaf,99,99,99,30,50,50,80,40,793,59,11,1,36,99,23
0,100,120,100,100,125,509,509,01-05-2010 00:00:00,West,Small Market,Darjeeling,11,Tea,11,102.9,100,100,77-139,100,80,Washington,Regular,130,130,130,30,50,30,80,48,351,82,14,1,44,130,38
0,100,96,100,100,100,360,360,01-05-2010 00:00:00,West,Small Market,Earl Grey,12,Tea,12,102.9,100,100,77-139,100,80,Washington,Regular,110,110,110,20,50,30,70,45,410,65,14,1,27,110,38
0,150,143,150,150,150,425,425,01-05-2010 00:00:00,West,Small Market,Green Tea,13,Tea,13,137.2,100,150,140,100,80,Washington,Regular,154,154,154,40,60,10,100,64,551,90,58,1,2,154,88
200,200,215,200,200,200,253,253,01-05-2010 00:00:00,West,Small Market,Decaf Irish Cream,3,Coffee,3,205.8,200,200,210,200,160,Washington,Decaf,221,221,221,110,160,60,270,92,599,129,83,1,16,221,113
